step,t,wing_q,wing_qd,wing_qdd,wing_q_R,wing_qd_R,wing_qdd_R,airspeed,v_air_wx,v_air_wy,v_air_wz,body_pitch_deg,mod_enabled,mod_delta,mod_mode,mod_smooth,mod_f_eff_hz,mod_fd_hz,mod_fu_hz,omega_w_norm_L,omega_w_norm_R,omega_c_norm_L,omega_c_norm_R,joint_pos_L,joint_pos_R,joint_vel_L,joint_vel_R,eta_tip_L,eta_tip_R,tau_twist_x_L,tau_twist_x_R,tau_hinge_L,tau_hinge_R,power_in_L,power_in_R,power_in_T,F_wang_x_L,F_wang_y_L,F_wang_z_L,tau_wang_x_L,tau_wang_y_L,tau_wang_z_L,F_link_x_L,F_link_y_L,F_link_z_L,tau_link_x_L,tau_link_y_L,tau_link_z_L,F_world_x_L,F_world_y_L,F_world_z_L,tau_world_x_L,tau_world_y_L,tau_world_z_L,F_wang_x_R,F_wang_y_R,F_wang_z_R,tau_wang_x_R,tau_wang_y_R,tau_wang_z_R,F_link_x_R,F_link_y_R,F_link_z_R,tau_link_x_R,tau_link_y_R,tau_link_z_R,F_world_x_R,F_world_y_R,F_world_z_R,tau_world_x_R,tau_world_y_R,tau_world_z_R,p_base_wx,p_base_wy,p_base_wz,p_wing_L_wx,p_wing_L_wy,p_wing_L_wz,p_wing_R_wx,p_wing_R_wy,p_wing_R_wz,F_world_x_T,F_world_y_T,F_world_z_T,tau_world_x_T,tau_world_y_T,tau_world_z_T,tau_world_x_T_about_base,tau_world_y_T_about_base,tau_world_z_T_about_base,aoa_mean_deg_L,aoa_mean_deg_R,aoa_max_deg_L,aoa_max_deg_R,aoa_frac_pre_L,aoa_frac_pre_R,aoa_frac_mid_L,aoa_frac_mid_R,aoa_frac_post_L,aoa_frac_post_R,del_sep_ratio_L,del_sep_ratio_R,del_Nc_L,del_Nc_R,del_Na_L,del_Na_R,del_Fx_suction_L,del_Fx_suction_R,del_Fx_camber_L,del_Fx_camber_R,del_Fx_friction_L,del_Fx_friction_R,del_Fx_total_L,del_Fx_total_R,del_k_mean_L,del_k_mean_R,del_alpha_prime_mean_L,del_alpha_prime_mean_R,del_alpha_le_mean_L,del_alpha_le_mean_R,del_alpha_tip_deg_L,del_alpha_tip_deg_R,del_alpha_prime_tip_deg_L,del_alpha_prime_tip_deg_R,del_alpha_le_tip_deg_L,del_alpha_le_tip_deg_R,del_theta_tip_deg_L,del_theta_tip_deg_R,mod_profile,mod_ff_amp,mod_ff_shift_deg
80,0.3333333333333333,-1.2814704106277904e-16,9.862087658149079,4.553138161655218e-14,-1.2814704106277904e-16,9.862087658149079,4.553138161655218e-14,7.0,-7.0,0.0,0.0,10.0,0,0.5,0.0,0.0,3.0,3.0,3.0,9.86208724975586,9.862083435058594,9.862088203430176,9.86208724975586,0.028353607282042503,0.029032060876488686,4.544875144958496,4.7827935218811035,0.13089969754219055,0.13089969754219055,0.0,0.0,nan,nan,15.064949989318848,15.064949989318848,30.129899978637695,0.0,-2.222243070602417,0.3490142822265625,0.0,0.0,0.0,0.3490142822265625,0.0,-2.222243070602417,0.0,0.0,0.0,0.7281527519226074,0.19224391877651215,-2.1196722984313965,0.0,0.0,0.0,0.0,-2.222243070602417,0.3490142822265625,0.0,0.0,0.0,0.3490142822265625,0.0,-2.222243070602417,-0.0,-0.0,-0.0,0.7281526923179626,-0.19224339723587036,-2.1196725368499756,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-4.470348358154297e-08,0.05600002408027649,0.6000000238418579,-1.1920928955078125e-07,-0.055999934673309326,0.6000000834465027,1.4563055038452148,5.21540641784668e-07,-4.239344596862793,0.0,0.0,0.0,-1.6391277313232422e-07,-3.9084267200450995e-07,-5.587935447692871e-08,22.900341033935547,22.90033721923828,42.00263214111328,42.00262451171875,0.27872011065483093,0.27872011065483093,0.5591298341751099,0.5591298341751099,0.1621500849723816,0.1621500849723816,0.0,0.0,-1.9165632724761963,-1.9165632724761963,-0.3056798577308655,-0.3056798577308655,0.5019572973251343,0.5019572973251343,0.0,0.0,-0.15294305980205536,-0.15294305980205536,0.3490142822265625,0.3490142822265625,0.36832037568092346,0.36832037568092346,-0.224754199385643,-0.224754199385643,-0.050221264362335205,-0.050221264362335205,-48.17204284667969,-48.17204284667969,-32.1136589050293,-32.1136589050293,-22.113658905029297,-22.113658905029297,17.5,17.5,0.0,0.0,180.0
81,0.3375,0.04104979888480858,9.831686133204368,-14.585229926544232,0.04104979888480858,9.831686133204368,-14.585229926544232,7.0,-7.0,0.0,0.0,10.0,0,0.5,0.0,0.0,3.0,3.0,3.0,9.831685066223145,9.831685066223145,9.831686019897461,9.831686019897461,0.06827794015407562,0.06900424510240555,4.1324591636657715,4.386183261871338,0.13049617409706116,0.13049617409706116,0.0,0.0,nan,nan,14.954747200012207,14.954747200012207,29.909494400024414,0.0,-2.2353920936584473,0.35955455899238586,0.0,0.0,0.0,0.35955455899238586,0.0,-2.2353920936584473,0.0,0.0,0.0,0.7418599724769592,0.10182613879442215,-2.1367106437683105,0.0,0.0,0.0,0.0,-2.2353920936584473,0.35955455899238586,0.0,0.0,0.0,0.35955455899238586,0.0,-2.2353920936584473,-0.0,-0.0,-0.0,0.7418599128723145,-0.10182566940784454,-2.1367106437683105,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-3.725290298461914e-08,0.05600005388259888,0.6000000834465027,-7.450580596923828e-09,-0.0559999942779541,0.6000000834465027,1.483719825744629,4.6938657760620117e-07,-4.273421287536621,0.0,0.0,0.0,-1.341104507446289e-07,-9.551841628763214e-08,-5.21540641784668e-08,22.8792724609375,22.8792724609375,41.96083450317383,41.96083450317383,0.27872011065483093,0.27872011065483093,0.5591298341751099,0.5591298341751099,0.1621500849723816,0.1621500849723816,0.0,0.0,-2.057718276977539,-2.057718276977539,-0.17767369747161865,-0.17767369747161865,0.5124273300170898,0.5124273300170898,0.0,0.0,-0.15287275612354279,-0.15287275612354279,0.35955455899238586,0.35955455899238586,0.36832037568092346,0.36832037568092346,-0.22887274622917175,-0.22887274622917175,-0.04866568744182587,-0.04866568744182587,-48.03916931152344,-48.03916931152344,-32.05481719970703,-32.05481719970703,-22.04214096069336,-22.04214096069336,17.476879119873047,17.476879119873047,0.0,0.0,180.0
82,0.3416666666666667,0.08184651210904866,9.740668993881052,-29.080537060510085,0.08184651210904866,9.740668993881052,-29.080537060510085,7.0,-7.0,0.0,0.0,10.0,0,0.5,0.0,0.0,3.0,3.0,3.0,9.740670204162598,9.740669250488281,9.740669250488281,9.740669250488281,0.10776601731777191,0.10853583365678787,3.6921114921569824,3.9600343704223633,0.12928810715675354,0.12928810715675354,0.0,0.0,nan,nan,14.585567474365234,14.585567474365234,29.17113494873047,0.0,-2.210256576538086,0.3620760440826416,0.0,0.0,0.0,0.3620760440826416,0.0,-2.210256576538086,0.0,0.0,0.0,0.7403770089149475,0.010545114055275917,-2.1137795448303223,0.0,0.0,0.0,0.0,-2.210256576538086,0.3620760440826416,0.0,0.0,0.0,0.3620760440826416,0.0,-2.210256576538086,-0.0,-0.0,-0.0,0.7403770089149475,-0.010544641874730587,-2.1137795448303223,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,7.450580596923828e-09,0.05600002408027649,0.6000000238418579,4.470348358154297e-08,-0.055999964475631714,0.6000000834465027,1.480754017829895,4.721805453300476e-07,-4.2275590896606445,0.0,0.0,0.0,-1.2665987014770508e-07,6.61122854239693e-08,-4.0978193283081055e-08,22.802621841430664,22.802621841430664,41.810081481933594,41.81007385253906,0.27872011065483093,0.27872011065483093,0.5715620517730713,0.5715620517730713,0.14971785247325897,0.14971785247325897,0.0,0.0,-2.161867380142212,-2.161867380142212,-0.04838939011096954,-0.04838939011096954,0.5147401690483093,0.5147401690483093,0.0,0.0,-0.15266412496566772,-0.15266412496566772,0.3620760440826416,0.3620760440826416,0.36832037568092346,0.36832037568092346,-0.2320580929517746,-0.2320580929517746,-0.04621187970042229,-0.04621187970042229,-47.6158332824707,-47.6158332824707,-31.82760238647461,-31.82760238647461,-21.802330017089844,-21.802330017089844,17.407663345336914,17.407663345336914,0.0,0.0,180.0
83,0.3458333333333333,0.12213861436940936,9.589597391109331,-43.39655301323803,0.12213861436940936,9.589597391109331,-43.39655301323803,7.0,-7.0,0.0,0.0,10.0,0,0.5,0.0,0.0,3.0,3.0,3.0,9.589598655700684,9.58959674835205,9.589598655700684,9.589598655700684,0.14657433331012726,0.14738300442695618,3.2265429496765137,3.5069572925567627,0.12728291749954224,0.12728291749954224,0.0,0.0,nan,nan,13.967082977294922,13.967082977294922,27.934165954589844,0.0,-2.1468679904937744,0.35643208026885986,0.0,0.0,0.0,0.35643208026885986,0.0,-2.1468679904937744,0.0,0.0,0.0,0.7235805988311768,-0.07624289393424988,-2.051025152206421,0.0,0.0,0.0,0.0,-2.1468679904937744,0.35643208026885986,0.0,0.0,0.0,0.35643208026885986,0.0,-2.1468679904937744,-0.0,-0.0,-0.0,0.7235805988311768,0.07624337077140808,-2.051025152206421,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-8.940696716308594e-08,0.05600005388259888,0.6000000238418579,1.4901161193847656e-08,-0.0559999942779541,0.6000000238418579,1.4471611976623535,4.76837158203125e-07,-4.102050304412842,0.0,0.0,0.0,-1.2665987014770508e-07,-2.390708004895714e-07,-3.725290298461914e-08,22.669456481933594,22.669456481933594,41.54730987548828,41.54730987548828,0.27872011065483093,0.27872011065483093,0.5715620517730713,0.5715620517730713,0.14971785247325897,0.14971785247325897,0.0,0.0,-2.2284164428710938,-2.2284164428710938,0.08154860883951187,0.08154860883951187,0.5087560415267944,0.5087560415267944,0.0,0.0,-0.152323916554451,-0.152323916554451,0.35643208026885986,0.35643208026885986,0.36832037568092346,0.36832037568092346,-0.23429086804389954,-0.23429086804389954,-0.042875271290540695,-0.042875271290540695,-46.9041862487793,-46.9041862487793,-31.43316650390625,-31.43316650390625,-21.39545249938965,-21.39545249938965,17.292774200439453,17.292774200439453,0.0,0.0,180.0
84,0.35,0.16167769145697236,9.379402731556693,-57.445014785821265,0.16167769145697236,9.379402731556693,-57.445014785821265,7.0,-7.0,0.0,0.0,10.0,0,0.5,0.0,0.0,3.0,3.0,3.0,9.379404067993164,9.379401206970215,9.379403114318848,9.379403114318848,0.18446369469165802,0.1853063851594925,2.738633632659912,3.0297646522521973,0.12449301034212112,0.12449301034212112,0.0,0.0,nan,nan,13.117280006408691,13.117280006408691,26.234560012817383,0.0,-2.045743942260742,0.3427981734275818,0.0,0.0,0.0,0.3427981734275818,0.0,-2.045743942260742,0.0,0.0,0.0,0.6918288469314575,-0.153410866856575,-1.9494658708572388,0.0,0.0,0.0,0.0,-2.045743942260742,0.3427981734275818,0.0,0.0,0.0,0.3427981734275818,0.0,-2.045743942260742,-0.0,-0.0,-0.0,0.6918287873268127,0.15341126918792725,-1.9494657516479492,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-4.470348358154297e-08,0.05600002408027649,0.6000000238418579,-6.705522537231445e-08,-0.055999964475631714,0.6000000834465027,1.383657693862915,4.023313522338867e-07,-3.8989315032958984,0.0,0.0,0.0,-1.341104507446289e-07,-2.591060024315084e-07,-4.842877388000488e-08,22.478090286254883,22.47808837890625,41.167362213134766,41.167362213134766,0.27872011065483093,0.27872011065483093,0.5837315320968628,0.5837315320968628,0.13754841685295105,0.13754841685295105,0.0,0.0,-2.2572362422943115,-2.2572362422943115,0.2114924043416977,0.2114924043416977,0.49466127157211304,0.49466127157211304,0.0,0.0,-0.15186308324337006,-0.15186308324337006,0.3427981734275818,0.3427981734275818,0.36832037568092346,0.36832037568092346,-0.23555612564086914,-0.23555612564086914,-0.03867523744702339,-0.03867523744702339,-45.907833099365234,-45.907833099365234,-30.873506546020508,-30.873506546020508,-20.823583602905273,-20.823583602905273,17.132923126220703,17.132923126220703,0.0,0.0,180.0
85,0.3541666666666667,0.20021997181341505,9.111380935196102,-71.13930893984407,0.20021997181341505,9.111380935196102,-71.13930893984407,7.0,-7.0,0.0,0.0,10.0,0,0.5,0.0,0.0,3.0,3.0,3.0,9.111377716064453,9.111377716064453,9.111380577087402,9.111380577087402,0.2212008386850357,0.22207242250442505,2.231441020965576,2.531446695327759,0.12093554437160492,0.12093554437160492,0.0,0.0,nan,nan,12.061981201171875,12.061981201171875,24.12396240234375,0.0,-1.9078844785690308,0.3216618001461029,0.0,0.0,0.0,0.3216618001461029,0.0,-1.9078844785690308,0.0,0.0,0.0,0.6459392309188843,-0.21627435088157654,-1.8109327554702759,0.0,0.0,0.0,0.0,-1.9078844785690308,0.3216618001461029,0.0,0.0,0.0,0.3216618001461029,0.0,-1.9078844785690308,-0.0,-0.0,-0.0,0.6459392309188843,0.21627478301525116,-1.8109327554702759,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-1.4156103134155273e-07,0.0559999942779541,0.6000000238418579,-1.2665987014770508e-07,-0.055999964475631714,0.6000000238418579,1.2918784618377686,4.3213367462158203e-07,-3.6218655109405518,0.0,0.0,0.0,-5.21540641784668e-08,-5.627319978884771e-07,-1.862645149230957e-08,22.2261962890625,22.226198196411133,40.662925720214844,40.662925720214844,0.29311418533325195,0.29311418533325195,0.5812168121337891,0.5812168121337891,0.12566909193992615,0.12566909193992615,0.0,0.0,-2.248650550842285,-2.248650550842285,0.34076598286628723,0.34076598286628723,0.4729583263397217,0.4729583263397217,0.0,0.0,-0.1512964963912964,-0.1512964963912964,0.3216618001461029,0.3216618001461029,0.36832037568092346,0.36832037568092346,-0.23584358394145966,-0.23584358394145966,-0.03363516926765442,-0.03363516926765442,-44.63190460205078,-44.63190460205078,-30.151500701904297,-30.151500701904297,-20.089675903320312,-20.089675903320312,16.929096221923828,16.929096221923828,0.0,0.0,180.0
86,0.35833333333333334,0.23752782946373077,8.787184445528412,-84.39500559803184,0.23752782946373077,8.787184445528412,-84.39500559803184,7.0,-7.0,0.0,0.0,10.0,0,0.5,0.0,0.0,3.0,3.0,3.0,8.78718376159668,8.78718376159668,8.787184715270996,8.787184715270996,0.2565596401691437,0.25745490193367004,1.7081576585769653,2.0151443481445312,0.11663248389959335,0.11663248389959335,0.0,0.0,nan,nan,10.834026336669922,10.834026336669922,21.668052673339844,0.0,-1.7347400188446045,0.2937987446784973,0.0,0.0,0.0,0.2937987446784973,0.0,-1.7347400188446045,0.0,0.0,0.0,0.5871453285217285,-0.2607977092266083,-1.6379516124725342,0.0,0.0,0.0,0.0,-1.7347400188446045,0.2937987446784973,0.0,0.0,0.0,0.2937987446784973,0.0,-1.7347400188446045,-0.0,-0.0,-0.0,0.5871452689170837,0.26079800724983215,-1.6379514932632446,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-5.960464477539063e-08,0.05600002408027649,0.6000000238418579,-6.705522537231445e-08,-0.0559999942779541,0.6000000834465027,1.174290657043457,2.980232238769531e-07,-3.2759032249450684,0.0,0.0,0.0,-6.705522537231445e-08,-2.4245932195299247e-07,-2.60770320892334e-08,21.91101837158203,21.9110164642334,40.024566650390625,40.024566650390625,0.29311418533325195,0.29311418533325195,0.6039943099021912,0.6039943099021912,0.10289160162210464,0.10289160162210464,0.0,0.0,-2.203402280807495,-2.203402280807495,0.46866241097450256,0.46866241097450256,0.4444412291049957,0.4444412291049957,0.0,0.0,-0.15064246952533722,-0.15064246952533722,0.2937987446784973,0.2937987446784973,0.36832037568092346,0.36832037568092346,-0.23514774441719055,-0.23514774441719055,-0.027782412245869637,-0.027782412245869637,-43.08306884765625,-43.08306884765625,-29.270912170410156,-29.270912170410156,-19.197568893432617,-19.197568893432617,16.68254852294922,16.68254852294922,0.0,0.0,180.0
87,0.3625,0.27337124905938415,8.408812041718699,-97.13037898252054,0.27337124905938415,8.408812041718699,-97.13037898252054,7.0,-7.0,0.0,0.0,10.0,0,0.5,0.0,0.0,3.0,3.0,3.0,8.408808708190918,8.408808708190918,8.408811569213867,8.408811569213867,0.29032275080680847,0.29123619198799133,1.1721127033233643,1.4841368198394775,0.11161033809185028,0.11161033809185028,0.0,0.0,nan,nan,9.472184181213379,9.472184181213379,18.944368362426758,0.0,-1.5281660556793213,0.2602387070655823,0.0,0.0,0.0,0.2602387070655823,0.0,-1.5281660556793213,0.0,0.0,0.0,0.5170334577560425,-0.28373485803604126,-1.4335922002792358,0.0,0.0,0.0,0.0,-1.5281660556793213,0.2602387070655823,0.0,0.0,0.0,0.2602387070655823,0.0,-1.5281660556793213,-0.0,-0.0,-0.0,0.5170335173606873,0.28373512625694275,-1.4335922002792358,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-1.1175870895385742e-07,0.05600002408027649,0.6000000238418579,-9.685754776000977e-08,-0.055999934673309326,0.6000000238418579,1.034066915512085,2.682209014892578e-07,-2.8671844005584717,0.0,0.0,0.0,-1.2665987014770508e-07,-3.607058260968188e-07,-3.91155481338501e-08,21.529476165771484,21.529476165771484,39.24070739746094,39.24071502685547,0.29311418533325195,0.29311418533325195,0.6252607703208923,0.6252607703208923,0.08162510395050049,0.08162510395050049,0.0,0.0,-2.122609853744507,-2.122609853744507,0.5944437980651855,0.5944437980651855,0.41016075015068054,0.41016075015068054,0.0,0.0,-0.14992205798625946,-0.14992205798625946,0.2602387070655823,0.2602387070655823,0.36832037568092346,0.36832037568092346,-0.23346811532974243,-0.23346811532974243,-0.0211483221501112,-0.0211483221501112,-41.269535064697266,-41.269535064697266,-28.236406326293945,-28.236406326293945,-18.151994705200195,-18.151994705200195,16.394800186157227,16.394800186157227,0.0,0.0,180.0
88,0.36666666666666664,0.30752924399942144,7.9785965154580385,-109.26691128145343,0.30752924399942144,7.9785965154580385,-109.26691128145343,7.0,-7.0,0.0,0.0,10.0,0,0.5,0.0,0.0,3.0,3.0,3.0,7.978594779968262,7.9785943031311035,7.9785966873168945,7.9785966873168945,0.322282612323761,0.3232088088989258,0.6267115473747253,0.9418116807937622,0.10590007901191711,0.10590007901191711,0.0,0.0,nan,nan,8.019866943359375,8.019866943359375,16.03973388671875,0.0,-1.290364146232605,0.22222338616847992,0.0,0.0,0.0,0.22222338616847992,0.0,-1.290364146232605,0.0,0.0,0.0,0.43747076392173767,-0.28274399042129517,-1.2012901306152344,0.0,0.0,0.0,0.0,-1.290364146232605,0.22222338616847992,0.0,0.0,0.0,0.22222338616847992,0.0,-1.290364146232605,-0.0,-0.0,-0.0,0.43747076392173767,0.28274422883987427,-1.2012901306152344,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-1.1175870895385742e-07,0.0559999942779541,0.6000000238418579,-2.2351741790771484e-08,-0.055999934673309326,0.6000000238418579,0.8749415278434753,2.384185791015625e-07,-2.4025802612304688,0.0,0.0,0.0,-7.450580596923828e-08,-2.1325612920009007e-07,0.0,21.078407287597656,21.07840919494629,38.297813415527344,38.297813415527344,0.307471364736557,0.307471364736557,0.6393908858299255,0.6393908858299255,0.05313779413700104,0.05313779413700104,0.0,0.0,-2.0077064037323,-2.0077064037323,0.7173422574996948,0.7173422574996948,0.3713819980621338,0.3713819980621338,0.0,0.0,-0.14915859699249268,-0.14915859699249268,0.22222338616847992,0.22222338616847992,0.36832037568092346,0.36832037568092346,-0.23080961406230927,-0.23080961406230927,-0.013768326491117477,-0.013768326491117477,-39.20111083984375,-39.20111083984375,-27.053560256958008,-27.053560256958008,-16.958600997924805,-16.958600997924805,16.067626953125,16.067626953125,0.0,0.0,180.0
89,0.37083333333333335,0.33979121888635216,7.499190288526997,-120.72977673740132,0.33979121888635216,7.499190288526997,-120.72977673740132,7.0,-7.0,0.0,0.0,10.0,0,0.5,0.0,0.0,3.0,3.0,3.0,7.4991888999938965,7.4991888999938965,7.499190330505371,7.499190330505371,0.35224294662475586,0.3531762659549713,0.07543516159057617,0.39162951707839966,0.09953691065311432,0.09953691065311432,0.0,0.0,nan,nan,6.523641586303711,6.523641586303711,13.047283172607422,0.0,-1.0238049030303955,0.18115733563899994,0.0,0.0,0.0,0.18115733563899994,0.0,-1.0238049030303955,0.0,0.0,0.0,0.3505192697048187,-0.25644049048423767,-0.9446528553962708,0.0,0.0,0.0,0.0,-1.0238049030303955,0.18115733563899994,0.0,0.0,0.0,0.18115733563899994,0.0,-1.0238049030303955,-0.0,-0.0,-0.0,0.3505192697048187,0.256440669298172,-0.944652795791626,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-1.341104507446289e-07,0.0559999942779541,0.6000000238418579,-6.705522537231445e-08,-0.055999934673309326,0.6000000238418579,0.7010385394096375,1.7881393432617188e-07,-1.889305591583252,0.0,0.0,0.0,-5.960464477539063e-08,-2.3181686970019655e-07,-5.587935447692871e-09,20.554683685302734,20.554683685302734,37.180450439453125,37.180450439453125,0.307471364736557,0.307471364736557,0.6629005074501038,0.6629005074501038,0.029628142714500427,0.029628142714500427,0.0,0.0,-1.8603696823120117,-1.8603696823120117,0.8365646004676819,0.8365646004676819,0.3295341730117798,0.3295341730117798,0.0,0.0,-0.14837685227394104,-0.14837685227394104,0.18115733563899994,0.18115733563899994,0.36832037568092346,0.36832037568092346,-0.22718267142772675,-0.22718267142772675,-0.005681968294084072,-0.005681968294084072,-36.88917922973633,-36.88917922973633,-25.728872299194336,-25.728872299194336,-15.623950004577637,-15.623950004577637,15.703045845031738,15.703045845031738,0.0,0.0,180.0
90,0.375,0.3699582679168016,6.973549059733373,-131.4483029730382,0.3699582679168016,6.973549059733373,-131.4483029730382,7.0,-7.0,0.0,0.0,10.0,0,0.5,0.0,0.0,3.0,3.0,3.0,6.973546981811523,6.973548889160156,6.973548889160156,6.973548889160156,0.380019873380661,0.3809546232223511,-0.47819674015045166,-0.16289782524108887,0.0925600603222847,0.0925600603222847,0.0,0.0,nan,nan,5.031683921813965,5.031683921813965,10.06336784362793,0.0,-0.7311471700668335,0.1385572850704193,0.0,0.0,0.0,0.1385572850704193,0.0,-0.7311471700668335,0.0,0.0,0.0,0.2583519518375397,-0.20440302789211273,-0.6672690510749817,0.0,0.0,0.0,0.0,-0.7311471700668335,0.1385572850704193,0.0,0.0,0.0,0.1385572850704193,0.0,-0.7311471700668335,-0.0,-0.0,-0.0,0.2583519518375397,0.20440320670604706,-0.6672689914703369,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-9.685754776000977e-08,0.05600002408027649,0.6000000238418579,-5.960464477539063e-08,-0.055999964475631714,0.6000000238418579,0.5167039036750793,1.7881393432617188e-07,-1.3345379829406738,0.0,0.0,0.0,-4.0978193283081055e-08,-1.352003238253019e-07,-7.450580596923828e-09,19.955427169799805,19.955427169799805,35.87174987792969,35.87174987792969,0.3217938542366028,0.3217938542366028,0.6702635884284973,0.6702635884284973,0.00794259924441576,0.00794259924441576,0.0,0.0,-1.6824463605880737,-1.6824463605880737,0.9512991905212402,0.9512991905212402,0.2861597239971161,0.2861597239971161,0.0,0.0,-0.14760243892669678,-0.14760243892669678,0.1385572850704193,0.1385572850704193,0.36832037568092346,0.36832037568092346,-0.22260363399982452,-0.22260363399982452,0.003066933946684003,0.003066933946684003,-34.34673309326172,-34.34673309326172,-24.269771575927734,-24.269771575927734,-14.155534744262695,-14.155534744262695,15.303299903869629,15.303299903869629,0.0,0.0,180.0
91,0.37916666666666665,0.3978444012019359,6.404913582046117,-141.35640670984995,0.3978444012019359,6.404913582046117,-141.35640670984995,7.0,-7.0,0.0,0.0,10.0,0,0.5,0.0,0.0,3.0,3.0,3.0,6.404912948608398,6.404913425445557,6.404913902282715,6.404913425445557,0.40544265508651733,0.40637320280075073,-1.0306572914123535,-0.7182323932647705,0.08501254767179489,0.08501254767179489,0.0,0.0,nan,nan,3.592184543609619,3.592184543609619,7.184369087219238,0.0,-0.4151438772678375,0.0960010439157486,0.0,0.0,0.0,0.0960010439157486,0.0,-0.4151438772678375,0.0,0.0,0.0,0.16316813230514526,-0.12712818384170532,-0.37252548336982727,0.0,0.0,0.0,0.0,-0.4151438772678375,0.0960010439157486,0.0,0.0,0.0,0.0960010439157486,0.0,-0.4151438772678375,-0.0,-0.0,-0.0,0.16316811740398407,0.12712827324867249,-0.3725254535675049,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,2.2351741790771484e-08,0.05600005388259888,0.6000000238418579,-8.940696716308594e-08,-0.055999934673309326,0.6000000238418579,0.3263362646102905,8.940696716308594e-08,-0.7450509071350098,0.0,0.0,0.0,-4.6566128730773926e-08,-4.443093359896011e-08,-3.4458935260772705e-08,19.27826499938965,19.278261184692383,34.35386276245117,34.35385513305664,0.3360842764377594,0.3360842764377594,0.663915753364563,0.663915753364563,0.0,0.0,0.0,0.0,-1.4758683443069458,-1.4758683443069458,1.0607244968414307,1.0607244968414307,0.24286207556724548,0.24286207556724548,0.0,0.0,-0.1468610167503357,-0.1468610167503357,0.0960010439157486,0.0960010439157486,0.36832037568092346,0.36832037568092346,-0.21709482371807098,-0.21709482371807098,0.012430302798748016,0.012430302798748016,-31.588375091552734,-31.588375091552734,-22.68461799621582,-22.68461799621582,-12.561769485473633,-12.561769485473633,14.87086009979248,14.87086009979248,0.0,0.0,180.0
92,0.3833333333333333,0.42327769145697214,5.796789682275651,-150.39300119352035,0.42327769145697214,5.796789682275651,-150.39300119352035,7.0,-7.0,0.0,0.0,10.0,0,0.5,0.0,0.0,3.0,3.0,3.0,5.796787738800049,5.796787261962891,5.79679012298584,5.79679012298584,0.4283553659915924,0.4292759597301483,-1.5784469842910767,-1.2708549499511719,0.07694090902805328,0.07694090902805328,0.0,0.0,nan,nan,2.251840591430664,2.251840591430664,4.503681182861328,0.0,-0.07855156064033508,0.05507955700159073,0.0,0.0,0.0,0.05507955700159073,0.0,-0.07855156064033508,0.0,0.0,0.0,0.0671173557639122,-0.02594846487045288,-0.06345111131668091,0.0,0.0,0.0,0.0,-0.07855156064033508,0.05507955700159073,0.0,0.0,0.0,0.05507955700159073,0.0,-0.07855156064033508,-0.0,-0.0,-0.0,0.0671173483133316,0.025948481634259224,-0.06345110386610031,0.0,0.0,0.0,0.0,1.1641532182693481e-10,0.6000000834465027,-1.4156103134155273e-07,0.0559999942779541,0.6000000238418579,-1.6391277313232422e-07,-0.055999964475631714,0.6000000238418579,0.1342346966266632,1.6763806343078613e-08,-0.12690222263336182,0.0,0.0,0.0,-2.3283064365386963e-09,-2.7383663336877362e-08,-3.026798367500305e-09,18.521574020385742,18.521570205688477,32.608909606933594,32.608909606933594,0.35034558176994324,0.35034558176994324,0.6496544480323792,0.6496544480323792,0.0,0.0,0.0,0.0,-1.2425733804702759,-1.2425733804702759,1.1640218496322632,1.1640218496322632,0.20125725865364075,0.20125725865364075,0.0,0.0,-0.14617767930030823,-0.14617767930030823,0.05507955700159073,0.05507955700159073,0.36832037568092346,0.36832037568092346,-0.21068498492240906,-0.21068498492240906,0.022355688735842705,0.022355688735842705,-28.63024139404297,-28.63024139404297,-20.982662200927734,-20.982662200927734,-10.851962089538574,-10.851962089538574,14.408390045166016,14.408390045166016,0.0,0.0,180.0
